,precision,recall,f1-score,support
beige,0.5625,0.14634146341463414,0.232258064516129,123.0
black,0.8181818181818182,0.9362416107382551,0.8732394366197184,298.0
blue,0.9953703703703703,0.7818181818181819,0.8757637474541752,275.0
brown,0.8101851851851852,0.7383966244725738,0.772626931567329,237.0
cream,0.7058823529411765,0.3870967741935484,0.5,31.0
crimson,0.3076923076923077,0.5,0.380952380952381,8.0
gold,1.0,0.08,0.14814814814814814,25.0
green,0.975609756097561,0.8695652173913043,0.9195402298850575,46.0
grey,0.7740259740259741,0.8688046647230321,0.8186813186813188,343.0
navy-blue,0.40860215053763443,0.8444444444444444,0.5507246376811594,45.0
orange,0.9142857142857143,0.6808510638297872,0.7804878048780487,47.0
red,0.9688715953307393,0.9613899613899614,0.9651162790697674,259.0
silver,0.6626984126984127,0.7914691943127962,0.7213822894168466,211.0
titanium,0.4946236559139785,0.8518518518518519,0.6258503401360543,54.0
white,0.9675638371290545,0.9770034843205575,0.9722607489597781,1435.0
yellow,1.0,0.9074074074074074,0.9514563106796117,54.0
accuracy,0.8668003437410484,0.8668003437410484,0.8668003437410484,0.8668003437410484
macro avg,0.7728808206493705,0.707667621519271,0.6930305417903452,3491.0
weighted avg,0.8764676852329508,0.8668003437410484,0.8599569240290791,3491.0
