,precision,recall,f1-score,support
beige,0.7291666666666666,0.2845528455284553,0.4093567251461988,123.0
black,0.7971428571428572,0.9362416107382551,0.8611111111111112,298.0
blue,0.9950248756218906,0.7272727272727273,0.8403361344537815,275.0
brown,0.8248847926267281,0.7552742616033755,0.7885462555066078,237.0
cream,0.4375,0.22580645161290322,0.2978723404255319,31.0
crimson,0.375,0.375,0.375,8.0
gold,0.5714285714285714,0.16,0.25,25.0
green,0.9736842105263158,0.8043478260869565,0.8809523809523809,46.0
grey,0.7604166666666666,0.8513119533527697,0.8033012379642366,343.0
navy-blue,0.36,0.8,0.4965517241379309,45.0
orange,0.8888888888888888,0.6808510638297872,0.7710843373493975,47.0
red,0.946360153256705,0.9536679536679536,0.9499999999999998,259.0
silver,0.6231884057971014,0.8151658767772512,0.7063655030800821,211.0
titanium,0.4875,0.7222222222222222,0.582089552238806,54.0
white,0.9752824858757062,0.9623693379790941,0.9687828831988776,1435.0
yellow,0.9245283018867925,0.9074074074074074,0.9158878504672898,54.0
accuracy,0.8570610140360928,0.8570610140360928,0.8570610140360928,0.8570610140360928
macro avg,0.7293748047740557,0.6850932211299474,0.6810773772520146,3491.0
weighted avg,0.8717226924496406,0.8570610140360928,0.8548419347638867,3491.0
