,precision,recall,f1-score,support
beige,0.4375,0.056910569105691054,0.10071942446043167,123.0
black,0.7245989304812834,0.9093959731543624,0.8065476190476191,298.0
blue,0.9785407725321889,0.8290909090909091,0.8976377952755906,275.0
brown,0.783625730994152,0.5654008438818565,0.6568627450980392,237.0
cream,0.64,0.5161290322580645,0.5714285714285714,31.0
crimson,0.16666666666666666,0.125,0.14285714285714288,8.0
gold,0.3333333333333333,0.32,0.32653061224489793,25.0
green,1.0,0.6521739130434783,0.7894736842105263,46.0
grey,0.6769911504424779,0.892128279883382,0.769811320754717,343.0
navy-blue,0.559322033898305,0.7333333333333333,0.6346153846153846,45.0
orange,0.9534883720930233,0.8723404255319149,0.9111111111111112,47.0
red,0.995850622406639,0.9266409266409267,0.9600000000000001,259.0
silver,0.5479876160990712,0.8388625592417062,0.6629213483146067,211.0
titanium,0.5466666666666666,0.7592592592592593,0.6356589147286822,54.0
white,0.9811320754716981,0.9421602787456446,0.9612513330963385,1435.0
yellow,1.0,0.7592592592592593,0.8631578947368421,54.0
accuracy,0.8381552563735319,0.8381552563735319,0.8381552563735319,0.8381552563735319
macro avg,0.7078564981928441,0.6686303476518618,0.6681615563737813,3491.0
weighted avg,0.8499725851503097,0.8381552563735319,0.8315313991287151,3491.0
